                H                      e                   e                              e_p             e_p              F1
                I     S N              _RArad              _DErad Pl      e_Plx  pmRA     mRA (m pmDE     mDE (m           (         Hpma    e_Hpma  sHp    V B-V    e_B-V  V-I
_r (deg) HIP    P Sn  o c RArad (deg)  (mas)  DErad (deg)  (mas)  x (mas) (mas)  (mas/yr) as/yr) (mas/yr) as/yr) Ntr F2    %) var    g (mag) g (mag) (mag)  A (mag)  (mag)  (mag)  HIP1 Phot
-------- ------ - --- - - ------------ ------ ------------ ------ ------- ------ -------- ------ -------- ------ --- ----- -- ------ ------- ------- ------ - ------ ------ ------ ---- ----
1.973924  16996     5 0 1 054.64957007   0.98 +24.60168679   0.58    8.96   1.07     3.47   1.55   -22.69   1.46  76  0.62  0    0.0  8.3007  0.0012  0.011 0  0.428  0.015  0.500 HIP1 Phot
1.889277  17020     5 0 1 054.73688334   2.48 +24.56991538   1.43    2.98   2.75    21.24   3.71   -44.93   3.32  74  2.81  0    0.0 10.6845  0.0041  0.028 0  0.645  0.015  0.710 HIP1 Phot
1.889023  17034     5 0 1 054.77795755   0.68 +24.70298266   0.32    8.32   0.79    23.91   0.97   -45.11   0.74  74  0.10  0    0.0  7.1287  0.0008  0.008 0  0.039  0.008  0.050 HIP1 Phot
1.806014  17044     5 0 1 054.80608403   1.83 +24.46663084   1.09   10.19   2.19    23.24   2.62   -43.11   2.16  75  0.16  0    0.0 10.5328  0.0040  0.025 0  0.616  0.005  0.680 HIP1 Phot
1.866747  17091     5 0 1 054.92150616   1.73 +23.29098750   0.87   11.82   1.94    26.82   2.74   -44.23   2.11  72  0.62  0    0.0 10.0767  0.0050  0.028 0  0.608  0.056  0.680 HIP1 Phot
1.863111  17181     5 0 1 055.19293083   0.42 +25.32952648   0.24    6.83   0.50     9.83   0.58   -14.86   0.50  74  3.32  0    0.0  6.1465  0.0009  0.006 0  0.097  0.005  0.110 HIP1 Phot
1.430884  17225     5 0 1 055.34564028   0.94 +23.48704602   0.56    8.10   1.06    21.78   1.42   -44.97   1.26  73 -1.50  0    0.0  9.2790  0.0019  0.015 0  0.437  0.006  0.510 HIP1 Phot
1.938251  17245     5 0 1 055.40064469   1.31 +25.61943238   0.79    6.64   1.51    14.67   1.80   -47.59   1.67  76 -0.09  1    0.0 10.2149  0.0026  0.022 0  0.589  0.004  0.660 HIP1 Phot
1.689947  17289     5 0 1 055.51962651   1.42 +22.85866532   0.77    7.65   1.50    20.04   1.89   -42.56   1.51  68  1.18  0    0.0  9.2749  0.0024  0.014 0  0.463  0.003  0.530 HIP1 Phot
1.717047  17305     5 0 1 055.56627328   0.83 +22.78664002   0.43   18.77   0.84    20.81   1.03   -75.66   0.88  69  1.67  0    0.0  7.4944  0.0009  0.007 0  0.428  0.013  0.500 HIP1 Phot
1.997608  17317     5 0 1 055.60005084   1.97 +22.42124648   0.95    8.27   2.07    18.87   2.22   -43.38   1.71  66  0.85  0    0.0 10.4945  0.0051  0.035 0  0.700  0.020  0.750 HIP1 Phot
0.888990  17401     5 0 1 055.92300723   0.83 +23.64925995   0.56    7.58   0.90    18.77   1.06   -46.36   0.95  71  0.99  0    0.0  8.0169  0.0013  0.013 0  0.347  0.010  0.410 HIP1 Phot
1.218823  17403     5 0 1 055.92992842   0.56 +25.08083883   0.37    7.93   0.60    22.38   0.97   -55.13   0.98  72 -0.08  0    0.0  7.5779  0.0015  0.012 0  0.141  0.008  0.160 HIP1 Phot
0.529879  17489     5 0 1 056.20084225   0.32 +24.28957701   0.18    8.65   0.36    20.38   0.43   -44.81   0.37  58 -1.17  0    0.0  5.4507  0.0006  0.005 0 -0.034  0.016  0.010 HIP1 Phot
0.979776  17497     5 0 1 056.21342697   1.14 +23.26902901   0.74    8.33   1.22    21.87   1.37   -43.18   1.08  68  0.24  0    0.0  9.0747  0.0019  0.014 0  0.403  0.007  0.470 HIP1 Phot
0.484807  17499     5 0 1 056.21884818   0.22 +24.11344840   0.12    8.06   0.25    20.84   0.28   -46.06   0.23  65  0.10  0    0.0  3.6857  0.0006  0.004 0 -0.105  0.013 -0.090 HIP1 Phot
0.834939  17527     5 0 1 056.29052848   0.31 +24.83937328   0.20    7.97   0.37    20.36   0.45   -46.52   0.41  69  0.56  0    0.0  5.6447  0.0006  0.005 0 -0.064  0.012 -0.030 HIP1 Phot
0.538242  17531     5 0 1 056.30200903   0.30 +24.46737906   0.18    7.97   0.33    21.24   0.38   -40.56   0.35  59  0.55  3    0.0  4.2724  0.0006  0.004 0 -0.110  0.006 -0.080 HIP1 Phot
1.006817  17572    15 3 2 056.45334199   0.71 +23.14725707   0.51    8.24   0.75    20.50   0.85   -44.55   0.74  61  3.65  0    0.0  6.8756  0.0011  0.007 0  0.060  0.011  0.070 HIP1 Phot
0.366923  17573     5 0 1 056.45663811   0.26 +24.36785797   0.18    8.51   0.28    20.95   0.31   -45.98   0.28  55  0.33  1    0.0  3.8591  0.0006  0.003 0 -0.063  0.015 -0.020 HIP1 Phot
0.503665  17579     5 0 1 056.47693310   0.51 +24.55462133   0.35    8.77   0.54    20.18   0.70   -44.87   0.62  58  2.51  0    0.0  5.7675  0.0011  0.006 0 -0.036  0.008  0.020 HIP1 Phot
1.302527  17583     5 0 1 056.49636075   0.73 +25.39870211   0.48    8.00   0.89    19.00   0.99   -47.23   0.94  65  1.23  0    0.0  8.1080  0.0012  0.009 0  0.213  0.006  0.240 HIP1 Phot
